Date,Biden Favorable,Biden Unfavorable,Trump Favorable,Trump Unfavorable
10-15-2020,51.2,44.2,43.2,54.5
10-16-2020,51.2,44.2,43.2,54.5
10-17-2020,51.2,44.2,43.2,54.5
10-18-2020,51.2,44.2,43.2,54.5
10-19-2020,51.2,44.2,43.2,54.5
10-20-2020,51.4,44,43.1,54.4
10-21-2020,50.4,44,43.2,54
10-22-2020,50.2,44,42.7,54.2
10-23-2020,50.2,44,42.7,54.2
10-24-2020,50.2,44,42.7,54.2
10-25-2020,49.7,44.5,42.3,54.5
10-26-2020,49.7,44.5,42.3,54.5
10-27-2020,49.7,44.5,42.3,54.5
10-28-2020,50.4,44,41.9,55.1
10-29-2020,50,44,41.6,55
10-30-2020,50.6,44,41.9,55
10-31-2020,50.6,44,41.9,55
11-01-2020,50.8,44,42,54.9
11-02-2020,50.6,44,41.9,54.6
11-03-2020,50.3,44.1,41.8,54.6
11-04-2020,50.3,44.1,41.8,54.6
11-05-2020,50.3,44.1,41.8,54.6
11-06-2020,50.3,44.1,41.8,54.6
11-07-2020,50.3,44.1,41.8,54.6
11-08-2020,50.3,44.1,41.8,54.6
11-09-2020,50.3,44.1,41.8,54.6
